,instruction,input,output
2661,COL CCN VAL 23T130 COL Facility VAL CAPE FEAR VALLEY REHABILITATION CENTER COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL Facility VAL CAPE FEAR VALLEY REHABILITATION CENTER ,BEAUMONT - ROYAL OAK
2662,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 200 INDUSTRIAL BLVD COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL Address1 VAL 200 INDUSTRIAL BLVD ,3601 W 13 MILE RD.
2663,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL TOCCOA COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL City VAL TOCCOA ,ROYAL OAK
2664,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MT COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL State VAL MT ,MI
2665,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 43952 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL ZipCode VAL 43952 ,48073
2666,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Barnstable COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL County VAL Barnstable ,Oakland
2667,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (337) 364-6923 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL PhoneNumber VAL (337) 364-6923 ,(248) 898-7319
2668,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 6 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CMSRegion VAL 6 ,5
2669,COL CCN VAL 23T130 COL Facility VAL BEAUMONT - ROYAL OAK COL Address1 VAL 3601 W 13 MILE RD. COL City VAL ROYAL OAK COL State VAL MI COL ZipCode VAL 48073 COL County VAL Oakland COL PhoneNumber VAL (248) 898-7319 COL CMSRegion VAL 5 COL Condition VAL Al other conditions ,COL Condition VAL Al other conditions ,Brain disease or condition (non-traumatic)
2670,COL CCN VAL 223027 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL CCN VAL 223027 ,23T132
2671,COL CCN VAL 23T132 COL Facility VAL EVANGELICAL COMMUNITY HOSPITAL COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL Facility VAL EVANGELICAL COMMUNITY HOSPITAL ,HURLEY MEDICAL CENTER
2672,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL 4601 MCHUGH ROAD COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 4601 MCHUGH ROAD ,ONE HURLEY PLAZA
2673,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL SAN BERNARDINO COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL City VAL SAN BERNARDINO ,FLINT
2674,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MN COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL State VAL MN ,MI
2675,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 44011 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL ZipCode VAL 44011 ,48503
2676,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Santa Clara COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL County VAL Santa Clara ,Genesee
2677,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (217) 876-8121 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL PhoneNumber VAL (217) 876-8121 ,(810) 262-6200
2678,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CMSRegion VAL 4 ,5
2679,COL CCN VAL 23T132 COL Facility VAL HURLEY MEDICAL CENTER COL Address1 VAL ONE HURLEY PLAZA COL City VAL FLINT COL State VAL MI COL ZipCode VAL 48503 COL County VAL Genesee COL PhoneNumber VAL (810) 262-6200 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL Condition VAL All other conditions ,Brain disease or condition (non-traumatic)
2680,"COL CCN VAL 05T057 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 05T057 ,23T146
2681,"COL CCN VAL 23T146 COL Facility VAL ST MARYS MEDICAL CENTER COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL ST MARYS MEDICAL CENTER ,HENRY FORD WYANDOTTE HOSPITAL
2682,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 1675 EAST VILLA STREET COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL Address1 VAL 1675 EAST VILLA STREET ,2333 BIDDLE
2683,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL 2823 FRESNO ST COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL City VAL 2823 FRESNO ST ,WYANDOTTE
2684,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL K COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL State VAL K ,MI
2685,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 9033 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL ZipCode VAL 9033 ,48192
2686,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Lea COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Lea ,Wayne
2687,"COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (785) 295-5454 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL PhoneNumber VAL (785) 295-5454 ,(734) 246-8962
2688,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL CMSRegion VAL 9 ,5
2689,COL CCN VAL 23T146 COL Facility VAL HENRY FORD WYANDOTTE HOSPITAL COL Address1 VAL 2333 BIDDLE COL City VAL WYANDOTTE COL State VAL MI COL ZipCode VAL 48192 COL County VAL Wayne COL PhoneNumber VAL (734) 246-8962 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL Condition VAL Stroke ,"Hip or knee replacement, amputation or other bone or joint condition"
2690,COL CCN VAL 29T039 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CCN VAL 29T039 ,23T165
2691,COL CCN VAL 23T165 COL Facility VAL LENOIR MEMORIAL HOSPITAL REHAB UNIT COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Facility VAL LENOIR MEMORIAL HOSPITAL REHAB UNIT ,ASCENSION ST JOHN HOSPITAL
2692,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 1 BROOKDALE PLAZA COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Address1 VAL 1 BROOKDALE PLAZA ,22101 MOROSS
2693,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL SYRACUSE COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL City VAL SYRACUSE ,DETROIT
2694,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL F COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL State VAL F ,MI
2695,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 72830 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL ZipCode VAL 72830 ,48236
2696,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Mltnomah COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL County VAL Mltnomah ,Wayne
2697,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (73) 243-6830 COL CMSRegion VAL 5 COL Condition VAL Brain disease or condition (non-traumatic) ,COL PhoneNumber VAL (73) 243-6830 ,(313) 343-4546
2698,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 8 COL Condition VAL Brain disease or condition (non-traumatic) ,COL CMSRegion VAL 8 ,5
2699,COL CCN VAL 23T165 COL Facility VAL ASCENSION ST JOHN HOSPITAL COL Address1 VAL 22101 MOROSS COL City VAL DETROIT COL State VAL MI COL ZipCode VAL 48236 COL County VAL Wayne COL PhoneNumber VAL (313) 343-4546 COL CMSRegion VAL 5 COL Condition VAL  ,COL Condition VAL  ,Brain disease or condition (non-traumatic)
2700,COL CCN VAL 37T037 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL CCN VAL 37T037 ,23T195
2701,COL CCN VAL 23T195 COL Facility VAL ORLANDO REGIONAL REHAB INSTITUTE COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Facility VAL ORLANDO REGIONAL REHAB INSTITUTE ,ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS
2702,"COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 1 HOSPITAL DRIVE, SUITE 101 COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ","COL Address1 VAL 1 HOSPITAL DRIVE, SUITE 101 ",11800 E. 12 MILE
2703,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL KEENE COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL City VAL KEENE ,WARREN
2704,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MA COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL State VAL MA ,MI
2705,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 46545 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Brain injury (traumatic) ,COL ZipCode VAL 46545 ,48093
2706,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Knton COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Knton ,Macomb
2707,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (818) 847-3200 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL PhoneNumber VAL (818) 847-3200 ,(586) 573-5958
2708,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 9 ,5
2709,COL CCN VAL 23T195 COL Facility VAL ASCENSION MACOMB-OAKLAND HOSPITAL WARREN CAMPUS COL Address1 VAL 11800 E. 12 MILE COL City VAL WARREN COL State VAL MI COL ZipCode VAL 48093 COL County VAL Macomb COL PhoneNumber VAL (586) 573-5958 COL CMSRegion VAL 5 COL Condition VAL Al other conditions ,COL Condition VAL Al other conditions ,Stroke
2710,COL CCN VAL 0T471 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CCN VAL 0T471 ,23T197
2711,COL CCN VAL 23T197 COL Facility VAL BONE HOSPITAL CENTER COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL Facility VAL BONE HOSPITAL CENTER ,GENESYS REGIONAL MEDICAL CTR
2712,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL 350 HOSPITAL DRIVE COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Al other conditions ,COL Address1 VAL 350 HOSPITAL DRIVE ,ONE GENESYS PARKWAY
2713,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL ERIE COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Spinal cord injury (traumatic) ,COL City VAL ERIE ,GRAND BLANC
2714,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL IL COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL State VAL IL ,MI
2715,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 2103 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL ZipCode VAL 2103 ,48439
2716,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Carter COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Stroke ,COL County VAL Carter ,Genesee
2717,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (725) 223-4100 COL CMSRegion VAL 5 COL Condition VAL Al other conditions ,COL PhoneNumber VAL (725) 223-4100 ,(810) 606-6543
2718,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 9 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CMSRegion VAL 9 ,5
2719,COL CCN VAL 23T197 COL Facility VAL GENESYS REGIONAL MEDICAL CTR COL Address1 VAL ONE GENESYS PARKWAY COL City VAL GRAND BLANC COL State VAL MI COL ZipCode VAL 48439 COL County VAL Genesee COL PhoneNumber VAL (810) 606-6543 COL CMSRegion VAL 5 COL Condition VAL Sinal cord disease or condition (non-traumatic) ,COL Condition VAL Sinal cord disease or condition (non-traumatic) ,Al other conditions
2720,COL CCN VAL 26T062 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL CCN VAL 26T062 ,23T207
2721,COL CCN VAL 23T207 COL Facility VAL JK JOHNSON REHAB INSTITUTE COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL Facility VAL JK JOHNSON REHAB INSTITUTE ,MCLAREN OAKLAND/POH MEDICAL CENTER
2722,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL ALAMOGORDO COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL Address1 VAL ALAMOGORDO ,50 N. PERRY STREET
2723,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL DNCAN COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL City VAL DNCAN ,PONTIAC
2724,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL L COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL State VAL L ,MI
2725,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 7055 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL ZipCode VAL 7055 ,48342
2726,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Clcasieu COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL County VAL Clcasieu ,Oakland
2727,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (321) 841-4165 COL CMSRegion VAL 5 COL Condition VAL Hip or femur fracture ,COL PhoneNumber VAL (321) 841-4165 ,(248) 338-5157
2728,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 6 COL Condition VAL Hip or femur fracture ,COL CMSRegion VAL 6 ,5
2729,COL CCN VAL 23T207 COL Facility VAL MCLAREN OAKLAND/POH MEDICAL CENTER COL Address1 VAL 50 N. PERRY STREET COL City VAL PONTIAC COL State VAL MI COL ZipCode VAL 48342 COL County VAL Oakland COL PhoneNumber VAL (248) 338-5157 COL CMSRegion VAL 5 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Condition VAL Nervous system disorder (excluding stroke) ,Hip or femur fracture
2730,COL CCN VAL 313038 COL Facility VAL MCLAREN MACOMB COL Address1 VAL 1000 HARRINGTON ST COL City VAL MOUNT CLEMENS COL State VAL MI COL ZipCode VAL 48043 COL County VAL Macomb COL PhoneNumber VAL (586) 493-8000 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL CCN VAL 313038 ,23T227
2731,COL CCN VAL 23T227 COL Facility VAL THREE RIVERS HEALTH REHAB PAVILION COL Address1 VAL 1000 HARRINGTON ST COL City VAL MOUNT CLEMENS COL State VAL MI COL ZipCode VAL 48043 COL County VAL Macomb COL PhoneNumber VAL (586) 493-8000 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Facility VAL THREE RIVERS HEALTH REHAB PAVILION ,MCLAREN MACOMB
